date,value
2016-02-19,10100.000000
2016-02-22,10320.000000
2016-02-23,10170.000000
2016-02-24,10260.000000
2016-02-25,10650.000000
2016-02-26,10770.000000
2016-02-29,10800.000000
2016-03-01,10550.000000
2016-03-02,10350.000000
2016-03-03,9880.000000
2016-03-04,9700.000000
2016-03-07,9620.000000
2016-03-08,9450.000000
2016-03-09,9600.000000
2016-03-10,9505.000000
2016-03-11,9305.000000
2016-03-14,9155.000000
2016-03-15,9035.000000
2016-03-16,9100.000000
2016-03-17,9005.000000
2016-03-18,8865.000000
2016-03-21,9025.000000
2016-03-22,9240.000000
2016-03-23,9245.000000
2016-03-24,9300.000000
2016-03-29,9360.000000
2016-03-30,9570.000000
2016-03-31,9705.000000
2016-04-01,9715.000000
2016-04-04,9760.000000
2016-04-05,9665.000000
2016-04-06,9725.000000
2016-04-07,9550.000000
2016-04-08,9585.000000
2016-04-11,9420.000000
2016-04-12,9320.000000
2016-04-13,9590.000000
2016-04-14,9660.000000
2016-04-15,9635.000000
2016-04-18,9525.000000
2016-04-19,9330.000000
2016-04-20,8925.000000
2016-04-21,8715.000000
2016-04-22,8375.000000
2016-04-25,8375.000000
2016-04-26,8765.000000
2016-04-27,9005.000000
2016-04-28,8995.000000
2016-04-29,9150.000000
2016-05-03,9170.000000
2016-05-04,8990.000000
2016-05-05,8895.000000
2016-05-06,8885.000000
2016-05-09,9085.000000
2016-05-10,8940.000000
2016-05-11,8975.000000
2016-05-12,8940.000000
2016-05-13,8945.000000
2016-05-16,9010.000000
2016-05-17,8875.000000
2016-05-18,8955.000000
2016-05-19,8680.000000
2016-05-20,8760.000000
2016-05-23,8790.000000
2016-05-24,8895.000000
2016-05-25,9080.000000
2016-05-26,9100.000000
2016-05-27,9145.000000
2016-05-31,9165.000000
2016-06-01,9230.000000
2016-06-02,9210.000000
2016-06-03,9400.000000
2016-06-06,9390.000000
2016-06-07,9500.000000
2016-06-08,9375.000000
2016-06-09,9300.000000
2016-06-10,9200.000000
2016-06-13,9100.000000
2016-06-14,8975.000000
2016-06-15,8860.000000
2016-06-16,8675.000000
2016-06-17,8630.000000
2016-06-20,9000.000000
2016-06-21,9015.000000
2016-06-22,9115.000000
2016-06-23,8700.000000
2016-06-24,8725.000000
2016-06-27,8060.000000
2016-06-28,7990.000000
2016-06-29,7950.000000
2016-06-30,7895.000000
2016-07-01,8250.000000
2016-07-04,7975.000000
2016-07-05,7995.000000
2016-07-06,7980.000000
2016-07-07,8070.000000
2016-07-08,8225.000000
2016-07-11,8460.000000
2016-07-12,8475.000000
2016-07-13,8610.000000
2016-07-14,8605.000000
2016-07-15,8565.000000
2016-07-18,8595.000000
2016-07-19,8855.000000
2016-07-20,8820.000000
2016-07-21,8755.000000
2016-07-22,8790.000000
2016-07-25,8750.000000
2016-07-26,8645.000000
2016-07-27,8500.000000
2016-07-28,8495.000000
2016-07-29,8800.000000
2016-08-01,8740.000000
2016-08-02,8555.000000
2016-08-03,8515.000000
2016-08-04,8830.000000
2016-08-05,9150.000000
2016-08-08,9235.000000
2016-08-09,9180.000000
2016-08-10,9190.000000
2016-08-11,9315.000000
2016-08-12,9580.000000
2016-08-15,9800.000000
2016-08-16,9655.000000
2016-08-17,9720.000000
2016-08-18,9820.000000
2016-08-19,9885.000000
2016-08-22,9830.000000
2016-08-23,9950.000000
2016-08-24,9735.000000
2016-08-25,9565.000000
2016-08-26,9635.000000
2016-08-30,9200.000000
2016-08-31,9160.000000
2016-09-01,9070.000000
2016-09-02,9015.000000
2016-09-05,9185.000000
2016-09-06,8960.000000
2016-09-07,9035.000000
2016-09-08,9125.000000
2016-09-09,8920.000000
2016-09-12,8950.000000
2016-09-13,8965.000000
2016-09-14,8860.000000
2016-09-15,8825.000000
2016-09-16,8760.000000
2016-09-19,8810.000000
2016-09-20,8940.000000
2016-09-21,8885.000000
2016-09-22,8980.000000
2016-09-23,8930.000000
2016-09-26,8680.000000
2016-09-27,8675.000000
2016-09-28,8725.000000
2016-09-29,8705.000000
2016-09-30,8700.000000
2016-10-03,8835.000000
2016-10-04,8965.000000
2016-10-05,8800.000000
2016-10-06,8790.000000
2016-10-07,8490.000000
2016-10-10,8530.000000
2016-10-11,8650.000000
2016-10-12,8625.000000
2016-10-13,8775.000000
2016-10-14,8855.000000
2016-10-17,8700.000000
2016-10-18,8655.000000
2016-10-19,8650.000000
2016-10-20,8665.000000
2016-10-21,8570.000000
2016-10-24,8505.000000
2016-10-25,8515.000000
2016-10-26,8395.000000
2016-10-27,8400.000000
2016-10-28,8450.000000
2016-10-31,8470.000000
2016-11-01,8595.000000
2016-11-02,8540.000000
2016-11-03,8580.000000
2016-11-04,8935.000000
2016-11-07,9100.000000
2016-11-08,9180.000000
2016-11-09,9030.000000
2016-11-10,8960.000000
2016-11-11,8790.000000
2016-11-14,8830.000000
2016-11-15,8660.000000
2016-11-16,8635.000000
2016-11-17,8610.000000
2016-11-18,8775.000000
2016-11-21,8610.000000
2016-11-22,8615.000000
2016-11-23,8640.000000
2016-11-24,8720.000000
2016-11-25,8605.000000
2016-11-28,8440.000000
2016-11-29,8530.000000
2016-11-30,8370.000000
2016-12-01,8365.000000
2016-12-02,8305.000000
2016-12-05,8350.000000
2016-12-06,8135.000000
2016-12-07,8230.000000
2016-12-08,8180.000000
2016-12-09,8280.000000
2016-12-12,8360.000000
2016-12-13,8475.000000
2016-12-14,8355.000000
2016-12-15,8480.000000
2016-12-16,8615.000000
2016-12-19,8615.000000
2016-12-20,8600.000000
2016-12-21,8515.000000
2016-12-22,8735.000000
2016-12-23,8700.000000
2016-12-28,8790.000000
2016-12-29,8720.000000
2016-12-30,8775.000000
2017-01-03,8775.000000
2017-01-04,8770.000000
2017-01-05,8885.000000
2017-01-06,8815.000000
2017-01-09,8865.000000
2017-01-10,8770.000000
2017-01-11,8700.000000
2017-01-12,8740.000000
2017-01-13,8645.000000
2017-01-16,8640.000000
2017-01-17,8510.000000
2017-01-18,8600.000000
2017-01-19,8590.000000
2017-01-20,8675.000000
2017-01-23,8295.000000
2017-01-24,7940.000000
2017-01-25,7935.000000
2017-01-26,8015.000000
2017-01-27,8105.000000
2017-01-30,8245.000000
2017-01-31,8345.000000
2017-02-01,8330.000000
2017-02-02,8535.000000
2017-02-03,8535.000000
2017-02-06,8560.000000
2017-02-07,8515.000000
2017-02-08,8650.000000
2017-02-09,8680.000000
2017-02-10,8700.000000
2017-02-13,8560.000000
2017-02-14,8550.000000
2017-02-15,8430.000000
2017-02-16,8390.000000
2017-02-17,8445.000000
2017-02-20,8465.000000
2017-02-21,8435.000000
2017-02-22,8490.000000
2017-02-23,8550.000000
2017-02-24,8635.000000
2017-02-27,8665.000000
2017-02-28,8825.000000
2017-03-01,8900.000000
2017-03-02,8885.000000
2017-03-03,8720.000000
2017-03-06,8785.000000
2017-03-07,8270.000000
2017-03-08,8420.000000
2017-03-09,8620.000000
2017-03-10,8815.000000
2017-03-13,8850.000000
2017-03-14,8860.000000
2017-03-15,8835.000000
2017-03-16,8795.000000
2017-03-17,8745.000000
2017-03-20,8735.000000
2017-03-21,8655.000000
2017-03-22,8610.000000
2017-03-23,8705.000000
2017-03-24,8695.000000
2017-03-27,8645.000000
2017-03-28,8675.000000
2017-03-29,8635.000000
2017-03-30,8575.000000
2017-03-31,8600.000000
2017-04-03,8475.000000
2017-04-04,8550.000000
2017-04-05,8585.000000
2017-04-06,8385.000000
2017-04-07,8410.000000
2017-04-10,8385.000000
2017-04-11,8405.000000
2017-04-12,8510.000000
2017-04-13,8525.000000
2017-04-18,8430.000000
2017-04-19,8295.000000
2017-04-20,8330.000000
2017-04-21,8320.000000
2017-04-24,8710.000000
2017-04-25,8760.000000
2017-04-26,8770.000000
2017-04-27,8615.000000
2017-04-28,8600.000000
2017-05-02,8775.000000
2017-05-03,8395.000000
2017-05-04,8070.000000
2017-05-05,8080.000000
2017-05-08,8250.000000
2017-05-09,8375.000000
2017-05-10,8325.000000
2017-05-11,8275.000000
2017-05-12,8325.000000
2017-05-15,8415.000000
2017-05-16,8420.000000
2017-05-17,8500.000000
2017-05-18,8360.000000
2017-05-19,8380.000000
2017-05-22,8560.000000
2017-05-23,8415.000000
2017-05-24,8390.000000
2017-05-25,8300.000000
2017-05-26,8315.000000
2017-05-30,8095.000000
2017-05-31,8070.000000
2017-06-01,8420.000000
2017-06-02,8560.000000
2017-06-05,8575.000000
2017-06-06,8485.000000
2017-06-07,8465.000000
2017-06-08,8360.000000
2017-06-09,8485.000000
2017-06-12,8365.000000
2017-06-13,8615.000000
2017-06-14,8675.000000
2017-06-15,8600.000000
2017-06-16,8620.000000
2017-06-19,8525.000000
2017-06-20,8660.000000
2017-06-21,8700.000000
2017-06-22,8755.000000
2017-06-23,8665.000000
2017-06-26,8668.160156
2017-06-27,8469.230469
2017-06-28,8370.500000
2017-06-29,8170.000000
2017-06-30,8180.000000
2017-07-03,8100.000000
2017-07-04,8100.000000
2017-07-05,8055.000000
2017-07-06,8070.000000
2017-07-07,8075.000000
2017-07-10,8000.000000
2017-07-11,7865.000000
2017-07-12,7835.000000
2017-07-13,7810.000000
2017-07-14,7750.000000
2017-07-17,7700.000000
2017-07-18,7770.000000
2017-07-19,7610.000000
2017-07-20,7705.000000
2017-07-21,7540.000000
2017-07-24,7525.000000
2017-07-25,7635.000000
2017-07-26,7410.000000
2017-07-27,7630.000000
2017-07-28,7570.000000
2017-07-31,7570.000000
2017-08-01,7700.000000
2017-08-02,7875.000000
2017-08-03,7845.000000
2017-08-04,7920.000000
2017-08-07,7550.000000
2017-08-08,7240.000000
2017-08-09,7260.000000
2017-08-10,7245.000000
2017-08-11,7255.000000
2017-08-14,7370.000000
2017-08-15,7475.000000
2017-08-16,7590.000000
2017-08-17,7475.000000
2017-08-18,7180.000000
2017-08-21,7155.000000
2017-08-22,7195.000000
2017-08-23,7000.000000
2017-08-24,6945.000000
2017-08-25,6805.000000
2017-08-29,6665.000000
2017-08-30,6745.000000
2017-08-31,6815.000000
2017-09-01,6910.000000
2017-09-04,6970.000000
2017-09-05,7110.000000
2017-09-06,7210.000000
2017-09-07,7190.000000
2017-09-08,7195.000000
2017-09-11,7225.000000
2017-09-12,7235.000000
2017-09-13,7205.000000
2017-09-14,7250.000000
2017-09-15,7245.000000
2017-09-18,7145.000000
2017-09-19,7210.000000
2017-09-20,7285.000000
2017-09-21,7180.000000
2017-09-22,7275.000000
2017-09-25,7355.000000
2017-09-26,7305.000000
2017-09-27,7300.000000
2017-09-28,7300.000000
2017-09-29,7410.000000
2017-10-02,7355.000000
2017-10-03,7450.000000
2017-10-04,7530.000000
2017-10-05,7665.000000
2017-10-06,7685.000000
2017-10-09,7590.000000
2017-10-10,7535.000000
2017-10-11,7685.000000
2017-10-12,7735.000000
2017-10-13,7725.000000
2017-10-16,7710.000000
2017-10-17,7710.000000
2017-10-18,7745.000000
2017-10-19,7775.000000
2017-10-20,7750.000000
2017-10-23,7715.000000
2017-10-24,7505.000000
2017-10-25,7495.000000
2017-10-26,7560.000000
2017-10-27,7550.000000
2017-10-30,7605.000000
2017-10-31,7705.000000
2017-11-01,8050.000000
2017-11-02,8150.000000
2017-11-03,8265.000000
2017-11-06,8360.000000
2017-11-07,8355.000000
2017-11-08,8500.000000
2017-11-09,8570.000000
2017-11-10,8560.000000
2017-11-13,8550.000000
2017-11-14,8535.000000
2017-11-15,8415.000000
2017-11-16,8820.000000
2017-11-17,8780.000000
2017-11-20,8700.000000
2017-11-21,8740.000000
2017-11-22,8540.000000
2017-11-23,8535.000000
2017-11-24,8810.000000
2017-11-27,8790.000000
2017-11-28,8675.000000
2017-11-29,8470.000000
2017-11-30,8325.000000
2017-12-01,8430.000000
2017-12-04,8515.000000
2017-12-05,8485.000000
2017-12-06,8470.000000
2017-12-07,8455.000000
2017-12-08,8570.000000
2017-12-11,8495.000000
2017-12-12,8445.000000
2017-12-13,8570.000000
2017-12-14,8540.000000
2017-12-15,8585.000000
2017-12-18,8590.000000
2017-12-19,8735.000000
2017-12-20,8780.000000
2017-12-21,8760.000000
2017-12-22,8740.000000
2017-12-27,8740.000000
2017-12-28,8810.000000
2017-12-29,8825.000000
2018-01-02,8900.000000
2018-01-03,8770.000000
2018-01-04,8760.000000
2018-01-05,8870.000000
2018-01-08,8795.000000
2018-01-09,8800.000000
2018-01-10,8475.000000
2018-01-11,8405.000000
2018-01-12,8460.000000
2018-01-15,8530.000000
2018-01-16,8460.000000
2018-01-17,8360.000000
2018-01-18,8410.000000
2018-01-19,8450.000000
2018-01-22,8275.000000
2018-01-23,8310.000000
2018-01-24,8170.000000
2018-01-25,8030.000000
2018-01-26,8080.000000
2018-01-29,8115.000000
2018-01-30,8120.000000
2018-01-31,8175.000000
2018-02-01,8140.000000
2018-02-02,8135.000000
2018-02-05,8085.000000
2018-02-06,7975.000000
2018-02-07,8105.000000
2018-02-08,8025.000000
2018-02-09,8150.000000
2018-02-12,8080.000000
2018-02-13,8115.000000
2018-02-14,8180.000000
2018-02-15,8250.000000
2018-02-16,8295.000000
2018-02-19,8315.000000
2018-02-20,8400.000000
2018-02-21,8500.000000
2018-02-22,8475.000000
2018-02-23,8435.000000
2018-02-26,8500.000000
2018-02-27,8585.000000
2018-02-28,8440.000000
2018-03-01,8270.000000
2018-03-02,8295.000000
2018-03-05,8260.000000
2018-03-06,8220.000000
2018-03-07,7940.000000
2018-03-08,8000.000000
2018-03-09,7885.000000
2018-03-12,7840.000000
2018-03-13,7680.000000
2018-03-14,7780.000000
2018-03-15,7685.000000
2018-03-16,7635.000000
2018-03-19,7645.000000
2018-03-20,7425.000000
2018-03-21,7460.000000
2018-03-22,7440.000000
2018-03-23,7375.000000
2018-03-26,7155.000000
2018-03-27,7260.000000
2018-03-28,7285.000000
2018-03-29,7300.000000
2018-04-03,7200.000000
2018-04-04,7065.000000
2018-04-05,6995.000000
2018-04-06,6970.000000
2018-04-09,7000.000000
2018-04-10,7105.000000
2018-04-11,7230.000000
2018-04-12,7125.000000
2018-04-13,7120.000000
2018-04-16,7165.000000
2018-04-17,7155.000000
2018-04-18,7225.000000
2018-04-19,7340.000000
2018-04-20,7305.000000
2018-04-23,7320.000000
2018-04-24,6965.000000
2018-04-25,6950.000000
2018-04-26,7000.000000
2018-04-27,7115.000000
2018-04-30,7180.000000
2018-05-01,7255.000000
2018-05-02,6800.000000
2018-05-03,6855.000000
2018-05-04,6855.000000
2018-05-08,6900.000000
2018-05-09,7045.000000
2018-05-10,7190.000000
2018-05-11,7105.000000
2018-05-14,7975.000000
2018-05-15,7760.000000
2018-05-16,8250.000000
2018-05-17,8405.000000
2018-05-18,8600.000000
2018-05-21,8790.000000
2018-05-22,8665.000000
2018-05-23,8630.000000
2018-05-24,8855.000000
2018-05-25,9080.000000
2018-05-29,9100.000000
2018-05-30,9110.000000
2018-05-31,9110.000000
2018-06-01,9035.000000
2018-06-04,8965.000000
2018-06-05,8890.000000
2018-06-06,8850.000000
2018-06-07,8645.000000
2018-06-08,8585.000000
2018-06-11,8595.000000
2018-06-12,8540.000000
2018-06-13,8565.000000
2018-06-14,8565.000000
2018-06-15,8290.000000
2018-06-18,8350.000000
2018-06-19,8275.000000
2018-06-20,8330.000000
2018-06-21,8280.000000
2018-06-22,8355.000000
2018-06-25,8210.000000
2018-06-26,8220.000000
2018-06-27,8325.000000
2018-06-28,8240.000000
2018-06-29,8300.000000
2018-07-02,8065.000000
2018-07-03,8220.000000
2018-07-04,8205.000000
2018-07-05,8220.000000
2018-07-06,8285.000000
2018-07-09,8350.000000
2018-07-10,8340.000000
2018-07-11,8305.000000
2018-07-12,8510.000000
2018-07-13,8435.000000
2018-07-16,8490.000000
2018-07-17,8225.000000
2018-07-18,8275.000000
2018-07-19,8300.000000
2018-07-20,8375.000000
2018-07-23,8385.000000
2018-07-24,8390.000000
2018-07-25,8295.000000
2018-07-26,8255.000000
2018-07-27,8255.000000
2018-07-30,8155.000000
2018-07-31,8290.000000
2018-08-01,8145.000000
2018-08-02,8080.000000
2018-08-03,8140.000000
2018-08-06,8140.000000
2018-08-07,8120.000000
2018-08-08,7540.000000
2018-08-09,7550.000000
2018-08-10,7255.000000
2018-08-13,7120.000000
2018-08-14,7020.000000
2018-08-15,6940.000000
2018-08-16,6920.000000
2018-08-17,6955.000000
2018-08-20,7110.000000
2018-08-21,7145.000000
2018-08-22,7175.000000
2018-08-23,7150.000000
2018-08-24,7205.000000
2018-08-28,7190.000000
2018-08-29,7100.000000
2018-08-30,7025.000000
2018-08-31,7015.000000
2018-09-03,7100.000000
2018-09-04,7015.000000
2018-09-05,7030.000000
2018-09-06,6870.000000
2018-09-07,6835.000000
2018-09-10,6795.000000
2018-09-11,6830.000000
2018-09-12,6880.000000
2018-09-13,6985.000000
2018-09-14,6920.000000
2018-09-17,6850.000000
2018-09-18,6860.000000
2018-09-19,6855.000000
2018-09-20,6920.000000
2018-09-21,6910.000000
2018-09-24,6780.000000
2018-09-25,6770.000000
2018-09-26,6780.000000
2018-09-27,6700.000000
2018-09-28,6490.000000
2018-10-01,6570.000000
2018-10-02,6565.000000
2018-10-03,6725.000000
2018-10-04,6605.000000
2018-10-05,6565.000000
2018-10-08,6500.000000
2018-10-09,6175.000000
2018-10-10,6100.000000
2018-10-11,6010.000000
2018-10-12,6015.000000
2018-10-15,6290.000000
2018-10-16,6570.000000
2018-10-17,6585.000000
2018-10-18,6695.000000
2018-10-19,6755.000000
2018-10-22,6485.000000
2018-10-23,6235.000000
2018-10-24,6330.000000
2018-10-25,6385.000000
2018-10-26,6530.000000
2018-10-29,6710.000000
2018-10-30,6680.000000
2018-10-31,6720.000000
2018-11-01,6910.000000
2018-11-02,7035.000000
2018-11-05,6940.000000
2018-11-06,6850.000000
2018-11-07,6830.000000
2018-11-08,6675.000000
2018-11-09,6550.000000
2018-11-12,6500.000000
2018-11-13,6670.000000
2018-11-14,7070.000000
2018-11-15,6960.000000
2018-11-16,7205.000000
2018-11-19,7290.000000
2018-11-20,7100.000000
2018-11-21,7160.000000
2018-11-22,7090.000000
2018-11-23,7190.000000
2018-11-26,7040.000000
2018-11-27,6955.000000
2018-11-28,7010.000000
2018-11-29,7070.000000
2018-11-30,6975.000000
2018-12-03,7075.000000
2018-12-04,6830.000000
2018-12-05,6765.000000
2018-12-06,6570.000000
2018-12-07,6455.000000
2018-12-10,6240.000000
2018-12-11,6295.000000
2018-12-12,6385.000000
2018-12-13,6425.000000
2018-12-14,6605.000000
2018-12-17,6475.000000
2018-12-18,6420.000000
2018-12-19,6350.000000
2018-12-20,6260.000000
2018-12-21,6315.000000
2018-12-24,6245.000000
2018-12-27,6220.000000
2018-12-28,6365.000000
2018-12-31,6400.000000
2019-01-02,6580.000000
2019-01-03,6435.000000
2019-01-04,6595.000000
2019-01-07,6735.000000
2019-01-08,6810.000000
2019-01-09,6740.000000
2019-01-10,6590.000000
2019-01-11,6530.000000
2019-01-14,6260.000000
2019-01-15,6210.000000
2019-01-16,6235.000000
2019-01-17,6155.000000
2019-01-18,6240.000000
2019-01-21,6190.000000
2019-01-22,6205.000000
2019-01-23,6125.000000
2019-01-24,6120.000000
2019-01-25,6025.000000
2019-01-28,6085.000000
2019-01-29,6095.000000
2019-01-30,6240.000000
2019-01-31,6265.000000
2019-02-01,6380.000000
2019-02-04,6420.000000
2019-02-05,6515.000000
2019-02-06,6545.000000
2019-02-07,6380.000000
2019-02-08,6375.000000
2019-02-11,6365.000000
2019-02-12,6330.000000
2019-02-13,6410.000000
2019-02-14,6260.000000
2019-02-15,6190.000000
2019-02-18,6105.000000
